"","Reporting.Country","Total.confirmed","Total.confirmed.new.cases","Total.deaths","Total.new.deaths","Transmission.classification","Days.since.last.reported.case","ISO_3_CODE","temp_mean_14Mar20","temp_mean_14Mar20_pa","temp_mean_3mth","temp_mean_3mth_pa","humd_mean_14Mar20","humd_mean_14Mar20_pa","humd_mean_3mth","humd_mean_3mth_pa","temp_mean_14Mar20_paadj","temp_mean_3mth_paadj"
"155","Saint Martin",8,3,0,0,"Under investigation",0,"MAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Saint Vincent and the",1,0,0,0,"Imported cases only",11,"VCT",24.729248046875,24.729248046875,25.4778005239126,25.4778005239126,83.4812088012695,83.4812088012695,77.1430713550465,77.1430713550465,24.729248046875,25.4778005239126
"157","San Marino",187,36,20,0,"Local transmission",0,"SMR",10.7499084472656,10.7499084472656,8.09903861380912,8.09903861380912,85.1594772338867,NA,73.6648505442851,73.6648505442851,10.7499084472656,8.09903861380912
"158","Saudi Arabia",562,51,0,0,"Local transmission",0,"SAU",21.7448158098544,22.2400658631378,16.9191070816554,18.4262528909754,38.5420078893129,42.1008618581552,38.4503912162542,38.4503912162542,22.2400658631378,18.4262528909754
"159","Senegal",79,12,0,0,"Local transmission",0,"SEN",30.842546377609,25.6414098822631,27.9934833506607,24.7570983873563,21.1568931572473,53.747154528982,22.4642444239263,22.4642444239263,25.6414098822631,24.7570983873563
"160","Serbia",249,61,2,2,"Local transmission",0,"SRB",7.91082783234425,8.52636947666866,3.05589606905677,3.51104614734341,59.9309943027985,57.7108485484118,75.1909320048797,75.1909320048797,8.52636947666866,3.51104614734341
"161","Seychelles",7,0,0,0,"Imported cases only",2,"SYC",28.2154083251953,28.2087639530783,27.3071394224425,27.3000968640717,74.9487380981445,74.7448089773208,80.191353308188,80.191353308188,28.2087639530783,27.3000968640717
"162","Singapore",507,52,2,0,"Local transmission",0,"SGP",28.1580200195312,28.1580200195312,26.8579837695972,26.8579837695972,80.6499137878418,NA,82.7083643320445,82.7083643320445,28.1580200195312,26.8579837695972
"163","Sint Maarten",2,1,0,0,"Imported cases only",0,"ANT",25.4349187215169,24.9817548343893,25.6340383581213,25.3335615709044,80.2885341644287,80.3647254697106,80.2149880984882,80.2149880984882,24.9817548343893,25.3335615709044
"164","Slovakia",191,6,0,0,"Local transmission",0,"SVK",3.16957590203536,3.41464942433039,1.29391950930165,1.55458918854935,53.9707088269685,53.6503887550154,79.9295963509832,79.9295963509832,3.41464942433039,1.55458918854935
"165","Slovenia",442,28,1,0,"Local transmission",0,"SVN",6.58169250488281,7.219985660638,3.52083779412347,4.00447186280973,68.2047972679138,66.2063731913794,73.7426851311245,73.7426851311245,7.219985660638,4.00447186280973
"166","Somalia",1,0,0,0,"Imported cases only",7,"SOM",27.9840780349005,28.135494175141,25.946892091022,26.1915446739683,56.1495405832926,59.5830289177521,55.4122687641872,55.4122687641872,28.135494175141,26.1915446739683
"167","South Africa",402,128,0,0,"Local transmission",0,"ZAF",22.1657840385416,21.4795448245056,22.9106882870636,21.5024954860447,56.0077340859593,65.7407238624618,56.3436283019588,56.3436283019588,21.4795448245056,21.5024954860447
"168","Spain",33089,4517,2182,462,"Local transmission",0,"ESP",11.5894584566425,12.810243056551,8.43779771830041,10.0820324361987,64.6908111616934,68.9992593802367,72.5237565810518,72.5237565810518,12.810243056551,10.0820324361987
"169","Sri Lanka",97,15,0,0,"Local transmission",0,"LKA",27.3250657025506,27.7441540610371,25.7766015566779,26.2403679716893,66.9694690031164,67.2882161945316,75.7567318132458,75.7567318132458,27.7441540610371,26.2403679716893
"170","Sudan",2,0,1,0,"Imported cases only",2,"SDN",22.0910316758759,25.0119126237041,20.5410626257346,23.6235954605566,21.9885983562883,18.2088430765497,25.7243657320585,25.7243657320585,25.0119126237041,23.6235954605566
"171","Suriname ",2,0,0,0,"Imported cases only",3,"SUR",27.2710215791743,27.1915647788404,25.5821576483158,25.9770640320262,67.3214075210247,72.3017735957368,75.6762303228417,75.6762303228417,27.1915647788404,25.9770640320262
"172","Sweden",2016,110,25,4,"Local transmission",0,"SWE",-5.26534992906909,-1.25205677065932,-2.4438804925512,2.46952615146855,61.1337808200833,53.2909890365947,83.5777092094809,83.5777092094809,-1.25205677065932,2.46952615146855
"173","Switzerland ",8015,1044,66,6,"Local transmission",0,"CHE",0.826033401489258,3.533215103243,-0.497855542157147,2.83320462769671,76.1924778938293,72.3069267810958,73.9783377276885,73.9783377276885,3.533215103243,2.83320462769671
